videoId,channelId
1ZD6lHSUA9k,UCzS1j4tJLcAW345XCKi7x8w
yiuERCgfqnw,UC1OvhJKH1J_pSZaNu7T7CRQ
CKd16zrW7f8,UC5Alv3DDd_otfn2cdaGNTuw
VcEnwDMDP-A,UCgcYsBZDPu7U7UXi5LC_WRg
O3dIrP3HGjo,UCcPYtBqXeCoOHalFn-3xvVA
4EVNkoCCk6M,UC9q5hRXh6K4Iuky5fs6IkPw
Ac45F0KGhXo,UCndTh499qJTWHcYgCJd9_iQ
XMsS1h7Hf50,UCTgxJAl0sPdbUg-yEWQ7Lew
l7vm8OY-_W0,UCvcb2D95T654M_ZDz04PNAQ
N6YH0iEhhYI,UCmEzRMFHXC_cn_DczHNnFXg
d_P0YpzXJ1I,UCjXx84vdSLeyoqDW-Ru3-bA
Z7FuystFh3c,UCqN4aEOsXKlAyor84Yui7KQ
y3BBMu8p6ao,UC2z_-0VfARopwAYo6Rx43Nw
DhTr1nruo0w,UCi07FKoTSmfT32xynSriT5w
F-T6zsP3fzw,UCnBEm1Yt6GI95-yPoxGnq8A
iHLhwirzsuY,UC9VKdhV1FHwNMH0LLW3CKXA
2F3rI7FLiFQ,UCyHtl4AjSbR3t94ETGxz7nQ
Vf8E1c-5Iw0,UCmoq_t8EONU5ZMjUJV5ULrA
S8ttSnU7Hd8,UC1OvhJKH1J_pSZaNu7T7CRQ
BtvLTcgISN8,UCY_LMaDAoa6hwHKBE4Dx56w
pWuTBUhIL4E,UCAj6d572-I8gOO_zjzDxAyg
Z-31Ceuvt14,UCtmxblSI-zfZCL7ixt6t_Ug
dAH8hGu2vFU,UCmljM6lfibQRY7oDM30XVCA
Rp6jAJYDW4I,UCAhOyekoVt6pT5_3mzi6myQ
X66OLIbK-6c,UCBXTT573cLN-vYESM6UU55Q
5VifA3i5H3U,UCUMHvZNllp7K6sLMJvDdT-w
y2qkNnfhm3E,UCvcb2D95T654M_ZDz04PNAQ
9W4yQXIfQkU,UCPBDdRdxPrNaqXH9t_N_QYQ
XvK8xtVbopA,UCyNtlmLB73-7gtlBz00XOQQ
B5nvgILKZhk,UCaZko1p_yoq_NRugjSuqPZA
GNFFxroUy5c,UCuxeTKPPng-5gfyC3gOgVpw
rwWPlsYVKa4,UCBga5qNvXbrOHhXaZTN0WqA
g-YNpv7uUTE,UCzgzvzfiBJy-IA4c19cScIw
dxKU4cio1jY,UCR8yXw9FwaMuCJyAQo9l5Kg
JCJjSIja7P4,UCAj6d572-I8gOO_zjzDxAyg
tI_Zf4lzNPE,UC6K1qpxFNxfK85DSLz5ubwQ
VDtgT191Vlk,UC4zJAMaYN592qQhMR2OfX_Q
Or0JYQ2WfqM,UC3xKksVR1NXvF1q7utbtt7g
P0h_3aYrlOY,UCjKyGA-ELZ_IfetdwF4MjBw
hHWd2tqkglk,UCFhAV0RizkDKZQSZd9MV3Xw
RZt2FVtelrk,UCooBDrFgh_lhyHErhGJ4G4Q
P48M1NPmu8U,UCjPS_B6rpl7WwYCRmWcsJug
Vs3SJsJ4rP8,UC8567DmojT8Ca3oZQlKip9w
kT1eTcZj2nQ,UCtmxblSI-zfZCL7ixt6t_Ug
6ClTwvgzpco,UCx4qROMJdq7tNgf9X_GqLGA
B3zFCDH150w,UC_67wISAYqO4xd96Gke7YLA
WLIa6lpF-go,UChZqgyvE7-yLoK2nTLqf7uA
I9M_rOQHJ-I,UC9q5hRXh6K4Iuky5fs6IkPw
at7cvnTpvsE,UCjLusOzTBDHawUgrrsnRe9g
gCKhktcbfQM,UCRI-RZS97beAxjW3seCLktQ
t5A-z69Itn4,UCtmxblSI-zfZCL7ixt6t_Ug
ij3SIoSxNYs,UCaDZLsDEEBBJESXmmi-9m5w
S13VLIO_rT0,UCB7F2wkvzX9BxrX0OmeZzkg
RGq4_XvyX8g,UC9q5hRXh6K4Iuky5fs6IkPw
ig8FiGp1Tw8,UCtmxblSI-zfZCL7ixt6t_Ug
ye1C7u-iawU,UC1ssvmQZ7bOerZb7zqanWAg
ZwiowCzsODQ,UCAhOyekoVt6pT5_3mzi6myQ
DgVQgdc0JJA,UCm15MUgCXXnGaC15GD9-Ucw
06LK4cA_WI0,UCcPYtBqXeCoOHalFn-3xvVA
EsjfOYAfE4k,UCePe-rL5nhIo5rofO5LsoNg
YBewcEsfnUg,UCG4ibQxtW5IUuK6hkyNTNnQ
DeMwgA7KQd8,UCxPG6u1By82CWGfgCjr4cBA
aahMl70b0F0,UCaCRCcO6gxXZDmkXXn4mY3w
YdJIMqAyT3M,UCnPl-wpytzLjpGtxjyEDeUg
fFb8CGRXaUI,UC-Qy-4esLdXmO1F6k5kz0Qg
vci1CrPvxGA,UCtmxblSI-zfZCL7ixt6t_Ug
ihVzt8Gs00k,UCzgzvzfiBJy-IA4c19cScIw
w5ID9b-Hcnw,UC0Elc9njNddVG_HZMvIzmmQ
59Hfa3iZcSI,UCKYWiQkuJMRh5LJ_LHrG6iA
K2GPBBxFpEw,UCOGqKS638zEovauA-NEYv7Q
gJMEmrcLU8M,UCdlgQd1XHner8ivW4hVmTnQ
nt61nb5s_1Y,UCh0N5JZ65Ifv-yUkk9cxlrg
fe9azR8k-4I,UCfnvtJwWLccpm8OErXK_dCw
E-Z8R9DTSjQ,UCbpZIGSh1a_Q9_mnwGYlC5w
_GSSC83AZYA,UCR6WVnf5Ja370qKL7kGu5vg
G-gbOhPsBN8,UCh7v1laqx7bZodFvIL1Q42g
7F33eg59W_g,UC1ssvmQZ7bOerZb7zqanWAg
LZu8anMLcIA,UCXOceLM6DT0oO_TBkbvVIOQ
XkXiu91c-lI,UCooBDrFgh_lhyHErhGJ4G4Q
4l6_rnInDw4,UCCtmJ4-qW_AAeLmNlOK_scw
T9xlAx_AZDY,UCdJ-X_fW4WA51gic2bOZJmA
Q6hnL7fDMiM,UC9q5hRXh6K4Iuky5fs6IkPw
huMpld8Xw9c,UCxXJpL_gWsImcP70sH2cB6A
wpFqq9sysyI,UC9q5hRXh6K4Iuky5fs6IkPw
2VQAQZyZ3QM,UC5QSMIBFLn7_h9ceB5b1Xyg
JTO94DjMMkU,UCNoMddUMPdrrS_iSvk9uZ5w
ewnlZb1Du9w,UCS5vFPWeFmcdQFHovLIsJDQ
tH-uKe9niFA,UC2XT2QmmEn0gOp-hwWR6GSQ
nu1yql8M4jM,UCaCH6BbF7yG33hQHZFw065A
_oe-S9berl8,UCrq8iClHEeBMRqtOLWf2SvA
mM5JipZcPx4,UC9q5hRXh6K4Iuky5fs6IkPw
-Q37S3rB7ic,UCQbfC3DLce4TYulsmwf2lzQ
xhZAEpre7o8,UCyx0vBhVgfRkiayXKnR8S8w
12o1BUC8DmA,UCDsdXklhP9jFRpf6h_k_UTw
CTVfttZNlbo,UCvUESgfOfpPyQfL7CKoVjbA
N-9gf_PKw5k,UCdJ-X_fW4WA51gic2bOZJmA
TLZ3J0Kw5X0,UCY_LMaDAoa6hwHKBE4Dx56w
9F7AHQHlDEc,UC4H-AmJl_rysHVVWqqp6fsQ
6NT_IatCPxU,UCf7BbemMRFk5r6MZpbkIIDQ
5fBTXSHob9g,UCNoMddUMPdrrS_iSvk9uZ5w
3yJN-GoIQIM,UC8CYhBOPT8SyiOPJxBLrTDA
FpvEIxfQOBE,UCOIB-Udc8rocv1oEUMPJOjg
yrJBcf8QcyI,UCTYSZs1mq_-CB9tWH7FODcg
IuuzYWZ8wJc,UC8_qwOA1iIUc3kcYXrQcCIA
5Z4B8tRpCQE,UCJ-_DPbqwEdY1HIklK9XalA
Xd3lRc6DY6I,UCsrOfFKrMVMKFtSOQNFhutA
3hDPZ8q0g7s,UCi07FKoTSmfT32xynSriT5w
TwkJF6CKohk,UCS5vFPWeFmcdQFHovLIsJDQ
ArEV_Bsgtf8,UCq6rOg2CKryE6W_I4-j2g_w
U5Y3oONtndM,UCNRz_3XOuAOG9Klc1KL1rbw
QHhVnIyO_NQ,UCSgTfFfu6aBjl7S5i0Tx1zg
Y-2Ad8BwpT8,UC42HS_vAliDCdgVmuCT_xaw
09UhDlOeLp4,UCcOTVI8YJJud1A6aRYrV4sg
DgvVCSnDgMM,UC5UbhFRufoXTDj6jiDgqTfQ
WG5CoMrzTQs,UCbQ186fK8JBRBOYxyAwXhLg
ibi410AeQpw,UCuxeTKPPng-5gfyC3gOgVpw
rvZmzmtRc_k,UCxCZHkAYKoa8AWj0wEqWghw
ljp15p55aNM,UC2mBd-E_gJffkccVCi7WHMQ
Pht5TuwCpIs,UCPfDL99IIRoPzusmScUTS2g
uclIiI8JTaM,UC-XAlsu4ObCUzWQ5e8z5hhw
9GSEPEmNlTA,UC9L7GnPWamOgfQhJUvUl1BA
sKbKsrsecZ8,UCyY-8oABdMFxqX1cFIHG5aQ
Sr3-TmFZ0Wg,UCQG2PWOCHImHeRbjr9kUORw
PLArpF_aMLE,UCdJ-X_fW4WA51gic2bOZJmA
pKcI4WNsKhg,UCNg5_--ISWWuv-qR7aKxYNw
P8C5oW3BOxY,UC1ye0-BAJXjpc7G78wLy0QA
wFiNZcudrnU,UC9eUC938TUc-xbikOUQMH4g
UPQtN78Ps4w,UCe7DSjKaSlYMd-FwmbXvM8A
CIJ4D_uAKoA,UCK3NA650lDxOr9y_hb1tMCA
Xk7eGvyy6X8,UCBXTT573cLN-vYESM6UU55Q
B_rgkNfZ5V0,UCzuDwuOnSGyGFtUiO1mPgQQ
dBD2ZgL2t4U,UCgcYsBZDPu7U7UXi5LC_WRg
IonXNaf6p5E,UCKatMgmtsiHn_lCZOYQbgGg
cxJDdrju3Pg,UCCOBrBvx9x1h3xvWLT7kMSA
zNGHwaSS7MA,UCXC0IPtzjQn_5Gsl3I6FquQ
fxitMojX0wY,UCtmxblSI-zfZCL7ixt6t_Ug
jWQo_tBDSkk,UCNfD4UWvq5c3DmTeVWY9iFw
R6eRtIm4ykw,UCxBlwpYecRtjWvpoDqb2oTw
OAH0MoAv2CI,UC3KpzBeoM8lDvn85m4szzfA
8m882pDCe6E,UCXmRiMxGbQNdGZxNus5NpBw
q_dw-GHtS_s,UCSIrrqMnya5IrUilHRl4iQA
aPPsksiecDg,UC1OcgCVzJVBN_TpJmYaLvxw
-SmoPNWSaJQ,UCULdi1IqWkYajlKKhkYw9ew
ONMSe_zhq70,UCxO0t4wGMqjXbitwlQxBuFw
5LiOBNzpIrQ,UCDsdXklhP9jFRpf6h_k_UTw
VW3QiF5me4Q,UCWsJ_x5Lr12zSHJYb5tJX3w
7H1XyWHKs0M,UC9q5hRXh6K4Iuky5fs6IkPw
P-oz13QCiyI,UCLPFLMN_8F0MAmtAqc_5kxQ
04yeVbPfqmI,UCoj_bg2UWbIM2fRq_fSo8eA
ZSxOj4SHgWs,UCBo01VtW78QtJSj2rtHvI3g
9fKsACb0_KQ,UCdaBST1dTztvqbL5ztMMmoQ
ghaEE7zqW0I,UCk6dt2aI7k0MLM1Kg2RZcXQ
MLNhU4QLWsA,UCFTpOOSGrCfKShrx15YojdQ
AXc5z2-JALI,UCaybkVQ8VR4HDNzSoDv1HYw
57s7LD8A_uY,UCtmxblSI-zfZCL7ixt6t_Ug
p4c1_ntVKVg,UCvpjwReN4WNE0dev__Z-FGg
wr2aMux1HYg,UCjjNveTAAHkE64PgEMxy0zQ
eaLp1dLgqko,UCvelgxBBAHfCH6wmVMPH7iQ
M6WoZAAIVKo,UC2krxKoVZXB6Rmg-EQOXNCQ
1KUVwKp6MDI,UCJc8qPr71Wrp7EvmICpkeiA
JGJCaOxejJ8,UCojAC9SAqNv8lRqCMqdmvqQ
iEVSu8Hs9Qk,UCgxCtonmlRyx5mQ-r43uc6Q
T9AgkZHJ2og,UCjT_Jt6Mpq1MftIPNGPTnfg
Tdn9r5X25XA,UCr5vPy2YUScYtiyAYiGn2Rg
ldnJrDOgwpo,UCM3VeyJKRr78wITQZhb1NRQ
RY2OEpAf5oY,UCtk1Yv__Jcsw2NWbmZcCqsA
F1CW0MjD1T0,UCr5vPy2YUScYtiyAYiGn2Rg
ysGTmXOTUng,UCtk1Yv__Jcsw2NWbmZcCqsA
gGkDcAd48sk,UC7TEzgIRQVei9kAVZuC9fNA
h0_NjlrfF24,UC7TEzgIRQVei9kAVZuC9fNA
nBXtXkjRe5o,UCk2tjjL_arIePoVKFykVxDA
eDqv1iAPcjg,UCI6FTSr584Y83UHL3u01auQ
8EtStRu_bkk,UCIdCCQpxnJlklP5P1V_hFsQ
AEihHNzkEGo,UCk2tjjL_arIePoVKFykVxDA
KzbC6kToZ8I,UC7TEzgIRQVei9kAVZuC9fNA
Q1rhoq77dcY,UCvcLCMmInjvU_p7FEePAo0g
A8b5xeSzDjY,UCO8qj5u80Ga7N_tP3BZWWhQ
TYBDFq_Aqa8,UC7TEzgIRQVei9kAVZuC9fNA
lQM8zqPDvPY,UCs7sNio5rN3RvWuvKvc4Xtg
eW0oXJ44PRs,UC0huIdfC39NI6J5-sLba84A
sSHvSZAI3o4,UCIdCCQpxnJlklP5P1V_hFsQ
GO_9oCvYmxs,UC22Sr8bNYjAKqxLr-snMGnA
hpt4QBD03zc,UC2v2gsQKZhAmDowoU8Y3CIg
3MAlVeknOw8,UCIdCCQpxnJlklP5P1V_hFsQ
fIZR5Ib1p_w,UCpFzEPRtO9-ZwhkpdyTq3jg
ICqXSDhM1Lg,UCHYhXiy8KYCuYgz3MvZrptQ
Gsq1LHXfDAQ,UCXooQQFpbKQzTqEyODyCu3g
iZowNN8sdCk,UCcGc0XcPGfU3ayD7LZhrk5g
OS_rWcrYMfY,UCpUGq8zXAQltFN9GqgDqVow
Rwem6vCdGvQ,UC22Sr8bNYjAKqxLr-snMGnA
jdJEj5CMuu8,UC7TEzgIRQVei9kAVZuC9fNA
zHabB8bIx5c,UCNhxq7He5p-_FdBh0OaxcQg
Awye7Cy2nBU,UC5tN3n8cBBlSCMHgFvkt24Q
yR_pd1qPC_8,UCHYhXiy8KYCuYgz3MvZrptQ
u0EY_YKukXY,UCleWPxJ-NtsHbC3qpkmIEcQ
kSjHzZECwr4,UCCjzspxooFor5ptnyrfL3Rw
umX6KDOwH2g,UC7TEzgIRQVei9kAVZuC9fNA
3bx0EHmBQk8,UCpFzEPRtO9-ZwhkpdyTq3jg
yU56qRD6vwE,UCD0oMMnL78IdahI82FJdohg
z2EnbBkwpi4,UCTl3QQTvqHFjurroKxexy2Q
0IL5S-oytpw,UC1NaxAHgXHhkjqHn9zXSeMw
S4aV5CFPmjk,UCLEwl4YV5KFinhH0cNK0Zpw
gtglOaUnbvc,UC7TEzgIRQVei9kAVZuC9fNA
3Zi6NfSm0QQ,UCs7sNio5rN3RvWuvKvc4Xtg
eRpIZSiYUtI,UCTgVl5peu2WD7LhbLDdmfgA
TBqktN8oL_c,UCyCTtyAUOliulO9mXBnMnHA
lHKT_-DHHGI,UC7TEzgIRQVei9kAVZuC9fNA
LGNmft-fjV8,UCdKUXEhkrjoU5i1dJyI2-sA
xCNVMj6-nIg,UCFnDxyL6N0et_oM0wjACqzw
doPh5uBBuFU,UCRJn9HyRPRmB292Qy2MuHxw
EXD5XT1Vcb0,UC0ytp1lNorcDrZ_yz1Zm1_Q
1B_7JxGsK7Y,UCr5vPy2YUScYtiyAYiGn2Rg
zmotN5Z91so,UCpFzEPRtO9-ZwhkpdyTq3jg
_FeRR7ruHQQ,UCIdCCQpxnJlklP5P1V_hFsQ
ZGSh14wSuDI,UCFKXZx-NuZJija7x09aWQ1A
OpUxBYSETJQ,UCjtLOfx1yt1NlnFIDyAX3Ug
LrTdVFwkciw,UCTVXVrB_Fcage2Gz5bbTv4A
uKvqVMUxJp0,UCoksUYwZs5zvLTcs3n-hpzw
0W4tB98JxI8,UCbWUEnTRHb3bRdrnovq8iuA
eHOVfbyb8Ko,UCpFzEPRtO9-ZwhkpdyTq3jg
giXno6txS7E,UCCjzspxooFor5ptnyrfL3Rw
O-oVwkJPgrc,UCTSPEE0lpVYQ8H-c0Fb68nw
R3Hwoj4_15E,UCIispqS6c6QA1lsIug7eaog
20R_mNk8K4Y,UCpFzEPRtO9-ZwhkpdyTq3jg
v3v_YfXLi_s,UCRvDa-MXikr2EgyLV6JQKFg
l2A88zOzwi0,UCw5fGoKFgvzk9ZEegkScrtQ
7d_5AwmMY1U,UCI6FTSr584Y83UHL3u01auQ
AFDFIIHaFLA,UCQ-YJstgVdAiCT52TiBWDbg
IgnKyZPp5WU,UCCjzspxooFor5ptnyrfL3Rw
nHpnTGQ_tmA,UCIdCCQpxnJlklP5P1V_hFsQ
iBlbLH3bEtQ,UCyCTtyAUOliulO9mXBnMnHA
UlFHdsQq9J8,UCzz0qHbaMVsBHhwt4M21nnA
Z6acIaLmlis,UCwNqHDsnBCKT-olwJwIFyfg
pJNVHZvhoVs,UCbkDfxkVN8OBAbQ9lh6B54Q
EX2hv5Ucp9s,UCLaFCbeEvMigz0_yMTK-DgA
yDgpXDyDfXw,UCbWUEnTRHb3bRdrnovq8iuA
7HyqdsycH2U,UCUvHWEPclPKqD_928RrrIxg
CjEmD7h5tw4,UC7TEzgIRQVei9kAVZuC9fNA
MuS3m9DaWzw,UCXooQQFpbKQzTqEyODyCu3g
cy_YZ3Sq4io,UCXLM426XzspM1Ea4aXWMhhw
KriBQVhsgZk,UCcKBhTwJ5cGs9KiQbChnqNA
Sh3CUG3Bm-E,UCjtLOfx1yt1NlnFIDyAX3Ug
2nJiWY6blWY,UCGYYNGmyhZ_kwBF_lqqXdAQ
p5wQ4PaQrtE,UCsQSOFJ-tQpaAVvjY7Rm58Q
jcK8SMlGfdU,UCeTa-D2M_j_J7aKfLUcRFxQ
pp5eEXPWMqg,UC22Sr8bNYjAKqxLr-snMGnA
uUy3zH6S8KA,UCK4vtDxY3_2Bm5H6VQsuNTA
FM9fZCiJwDc,UCI6FTSr584Y83UHL3u01auQ
7Fhh_qqgsjE,UCs7sNio5rN3RvWuvKvc4Xtg
VZEKt2ApHdM,UCTaUSVAENif_-yp97JEAxvA
fjgN4rOME44,UCJCUbMaY593_4SN1QPG7NFQ
5aDQWzdoups,UCPLA1E1NAUzWrO6jUifKeMA
hCAsfdupt6A,UCr6j1S4fUuOPLq32ONnFq-w
LSwbPyIP-gY,UCr5vPy2YUScYtiyAYiGn2Rg
Fdij5hV5k8w,UCyCTtyAUOliulO9mXBnMnHA
D9B_z6UQdRo,UCgn8FJpkMLJWed7vkvsV0mg
A6Ox6s1GTSk,UCvSLz6cA3zlEJXHSIzvEGCQ
qLjPUtSan0g,UC7TEzgIRQVei9kAVZuC9fNA
gODZzSOelss,UCUsN5ZwHx2kILm84-jPDeXw
19JWbZkhSjg,UClFZ58k3TunTz8QVp-9e1Vw
Qwxh-nEqbfg,UCIdCCQpxnJlklP5P1V_hFsQ
Gzewqj0yjoQ,UCleo0cLOSiib0W62-GK1KdQ
QbeoKXuUlEc,UCOxO0VjL1jVe99ls4wcFElg
JO2Zn2DduRA,UCKvn9VBLAiLiYL4FFJHri6g
RdsSZv9tCKo,UCjtLOfx1yt1NlnFIDyAX3Ug
4pjbG1oOq8Q,UCzoPb9sKVAHd-pIzv9RGGRA
PSuYdRgtFvI,UCt8RzuKmsJKUMuPoDwBobAg
IpzN2LTn-Bk,UCyGa1YEx9ST66rYrJTGIKOw
v-Wky90Kf-s,UC0ytp1lNorcDrZ_yz1Zm1_Q
nDpgrgplqpU,UC-No2ITxJsNt50oJQ3fLmUA
wl7A2cWPYlo,UCKvn9VBLAiLiYL4FFJHri6g
VrnOkGU7hmI,UC7TEzgIRQVei9kAVZuC9fNA
lMIzYQz4Vfg,UCHBzJ5o0UFQFue5ReKWMoVg
-5VkxHc1S-I,UCzEPPYM7-et9T9160XHCrCg
Mvu7T5XvBN4,UCjTcTWxUEKkh360UkT-U6HA
39ESe3gQZTQ,UCI6FTSr584Y83UHL3u01auQ
XUI5NdGVVlw,UC34VJywGNC7KPdCbqVh3sdQ
H4Jxsxm1brY,UC7TEzgIRQVei9kAVZuC9fNA
lpmTOAiG3VU,UCzoPb9sKVAHd-pIzv9RGGRA
QG66hmLAGi8,UCr1TEhHFn8jEXraaZ1lslhQ
